territoryNumber,juliandate,diffDays,dist_moved_meters,age,sex,breed_successful,mass,wing_length,cap_colorLevel
18RT100,153,2,277.0186997,SY,M,N,9.3,55,3
18RT113,154,1,275.1323545,SY,M,N,8.8,54,2
18RT101,157,1,814.8404752,SY,M,N,9.1,55,1
18RT111,157,1,549.4843037,SY,M,N,8.2,54,3
18RT115,159,1,306.1502899,SY,M,N,8.9,53,3
18RT116,159,1,285.334891,SY,M,Y,9.7,53,3
18RT106,161,3,274.3803119,SY,M,N,9.1,53,3
17RT112,163,1,500.1299831,SY,M,N,8.2,53,2
18RT114,163,4,5085.885198,SY,M,N,9.1,52,1
18RT118,163,1,1219.537002,SY,M,N,9.1,54,3
17RT113,164,2,318.4325871,SY,M,N,8.6,53,3.5
18RT119,164,3,1768.443666,SY,M,N,9,51,3
18RT112,165,1,564.787128,SY,M,N,9,55,3
18RT117,165,1,2391.134226,SY,M,N,9.1,52,3
18RT108,166,1,334.6475758,SY,M,N,9.3,54,3
18RT120,173,1,1992.76391,SY,M,N,8.8,53,3
18RT121,173,1,424.3783689,SY,M,N,9.6,52,3
18RT110,174,1,574.2560405,SY,M,N,9.2,51,3
17RT124,175,1,457.0700165,SY,M,N,9.6,53,2
17RT126,178,2,265.7084869,SY,M,N,9.4,53.5,3
17RT121,179,1,427.2996607,SY,M,N,9.4,53.5,2.5
17RT125,179,3,694.9741002,SY,M,U,9,54,4
17RT115,180,1,438.2145593,SY,M,N,8.8,54,4
18RT122,180,1,257.8977511,SY,M,N,9.2,53,3
18SHE020,180,23,351.0227913,ASY,M,N,9.1,55,2.5
17RT114,181,2,441.9168474,SY,M,N,8.8,52,3
17RT122,181,6,738.5309743,SY,M,N,9.2,51.5,3
17RT102,182,22,328.8175786,SY,M,N,8.4,54,2
17RT119,184,1,394.6061327,SY,M,N,9.2,52,2
18RT123,184,1,274.6124542,SY,M,N,8.6,52,3
18RT126,185,1,639.6884007,SY,M,N,9.2,53,3
18RT132,189,1,293.540883,ASY,M,Y,9.1,53,5
18RT124,191,1,303.3005935,SY,M,N,9.4,52,3
17RT117,192,1,325.3382855,ASY,M,N,9.2,54.5,5
18RT129,194,1,266.3967905,SY,M,N,8.9,51,3
17RT133,199,1,502.7772867,SY,M,N,9.6,52.5,3
17RT140,199,1,670.0186565,SY,M,N,9,51,3
17RT129,200,1,568.0103677,SY,M,N,8.6,53,3
18RT134,203,1,251.0478042,ASY,M,U,9.9,55,5
18RT130,204,1,273.016483,SY,M,N,8.5,51,1
17RT131,206,1,621.6011583,ASY,M,Y,9.6,54.5,5
18RT142,208,1,307.2543734,SY,M,U,9.5,54,3
18RT135,210,1,271.0359755,ASY,M,U,9.3,54,5
18RT141,212,1,336.9332278,ASY,M,U,9.2,56,4
18RT143,254,7,275.9148419,ASY,M,U,8.6,54,5
